FiscalPeriod, Parent, Alias: Default, Data Storage, Two Pass Calculation, Description, Formula, Formula Description, UDA, Smart List, Data Type, Hierarchy Type, Type, Plan Type (Scratch1), Aggregation (Scratch1), Data Storage (Scratch1), Plan Type (Scratch2), Aggregation (Scratch2), Data Storage (Scratch2), Operation
Sep_2,Sep,,store,FALSE,,<none>,<none>,,,unspecified,none,alternate,TRUE,+,store,TRUE,+,store,
Sep_3,Sep,,store,FALSE,,<none>,<none>,,,unspecified,none,alternate,TRUE,+,store,TRUE,+,store,
Sep_4,Sep,,store,FALSE,,<none>,<none>,,,unspecified,none,alternate,TRUE,+,store,TRUE,+,store,
Sep_5,Sep,,store,FALSE,,<none>,<none>,,,unspecified,none,alternate,TRUE,+,store,TRUE,+,store,
Sep_6,Sep,,store,FALSE,,<none>,<none>,,,unspecified,none,alternate,TRUE,+,store,TRUE,+,store,
Sep_7,Sep,,store,FALSE,,<none>,<none>,,,unspecified,none,alternate,TRUE,+,store,TRUE,+,store,
Sep_8,Sep,,store,FALSE,,<none>,<none>,,,unspecified,none,alternate,TRUE,+,store,TRUE,+,store,
Sep_9,Sep,,store,FALSE,,<none>,<none>,,,unspecified,none,alternate,TRUE,+,store,TRUE,+,store,
Sep_10,Sep,,store,FALSE,,<none>,<none>,,,unspecified,none,alternate,TRUE,+,store,TRUE,+,store,
Sep_11,Sep,,store,FALSE,,<none>,<none>,,,unspecified,none,alternate,TRUE,+,store,TRUE,+,store,
Sep_12,Sep,,store,FALSE,,<none>,<none>,,,unspecified,none,alternate,TRUE,+,store,TRUE,+,store,
Sep_13,Sep,,store,FALSE,,<none>,<none>,,,unspecified,none,alternate,TRUE,+,store,TRUE,+,store,
Sep_14,Sep,,store,FALSE,,<none>,<none>,,,unspecified,none,alternate,TRUE,+,store,TRUE,+,store,
Sep_15,Sep,,store,FALSE,,<none>,<none>,,,unspecified,none,alternate,TRUE,+,store,TRUE,+,store,
Sep_16,Sep,,store,FALSE,,<none>,<none>,,,unspecified,none,alternate,TRUE,+,store,TRUE,+,store,
Sep_17,Sep,,store,FALSE,,<none>,<none>,,,unspecified,none,alternate,TRUE,+,store,TRUE,+,store,
Sep_18,Sep,,store,FALSE,,<none>,<none>,,,unspecified,none,alternate,TRUE,+,store,TRUE,+,store,
Sep_19,Sep,,store,FALSE,,<none>,<none>,,,unspecified,none,alternate,TRUE,+,store,TRUE,+,store,
Sep_20,Sep,,store,FALSE,,<none>,<none>,,,unspecified,none,alternate,TRUE,+,store,TRUE,+,store,
Sep_21,Sep,,store,FALSE,,<none>,<none>,,,unspecified,none,alternate,TRUE,+,store,TRUE,+,store,
Sep_22,Sep,,store,FALSE,,<none>,<none>,,,unspecified,none,alternate,TRUE,+,store,TRUE,+,store,
Sep_23,Sep,,store,FALSE,,<none>,<none>,,,unspecified,none,alternate,TRUE,+,store,TRUE,+,store,
Sep_24,Sep,,store,FALSE,,<none>,<none>,,,unspecified,none,alternate,TRUE,+,store,TRUE,+,store,
Sep_25,Sep,,store,FALSE,,<none>,<none>,,,unspecified,none,alternate,TRUE,+,store,TRUE,+,store,
Sep_26,Sep,,store,FALSE,,<none>,<none>,,,unspecified,none,alternate,TRUE,+,store,TRUE,+,store,
Sep_27,Sep,,store,FALSE,,<none>,<none>,,,unspecified,none,alternate,TRUE,+,store,TRUE,+,store,
Sep_28,Sep,,store,FALSE,,<none>,<none>,,,unspecified,none,alternate,TRUE,+,store,TRUE,+,store,
Sep_29,Sep,,store,FALSE,,<none>,<none>,,,unspecified,none,alternate,TRUE,+,store,TRUE,+,store,
Sep_30,Sep,,store,FALSE,,<none>,<none>,LastDayofMonth,,unspecified,none,alternate,TRUE,+,store,TRUE,+,store,
Q4,CalendarTotal,,dynamic calc,FALSE,,<none>,<none>,,,unspecified,none,alternate,TRUE,+,dynamic calc,TRUE,+,dynamic calc,
Oct,Q4,,dynamic calc,FALSE,,<none>,<none>,,,unspecified,none,alternate,TRUE,+,dynamic calc,TRUE,+,dynamic calc,
Oct_1,Oct,,store,FALSE,,<none>,<none>,,,unspecified,none,alternate,TRUE,+,store,TRUE,+,store,
Oct_2,Oct,,store,FALSE,,<none>,<none>,,,unspecified,none,alternate,TRUE,+,store,TRUE,+,store,
Oct_3,Oct,,store,FALSE,,<none>,<none>,,,unspecified,none,alternate,TRUE,+,store,TRUE,+,store,
Oct_4,Oct,,store,FALSE,,<none>,<none>,,,unspecified,none,alternate,TRUE,+,store,TRUE,+,store,
Oct_5,Oct,,store,FALSE,,<none>,<none>,,,unspecified,none,alternate,TRUE,+,store,TRUE,+,store,
Oct_6,Oct,,store,FALSE,,<none>,<none>,,,unspecified,none,alternate,TRUE,+,store,TRUE,+,store,
Oct_7,Oct,,store,FALSE,,<none>,<none>,,,unspecified,none,alternate,TRUE,+,store,TRUE,+,store,
Oct_8,Oct,,store,FALSE,,<none>,<none>,,,unspecified,none,alternate,TRUE,+,store,TRUE,+,store,
Oct_9,Oct,,store,FALSE,,<none>,<none>,,,unspecified,none,alternate,TRUE,+,store,TRUE,+,store,
Oct_10,Oct,,store,FALSE,,<none>,<none>,,,unspecified,none,alternate,TRUE,+,store,TRUE,+,store,
Oct_11,Oct,,store,FALSE,,<none>,<none>,,,unspecified,none,alternate,TRUE,+,store,TRUE,+,store,
Oct_12,Oct,,store,FALSE,,<none>,<none>,,,unspecified,none,alternate,TRUE,+,store,TRUE,+,store,
Oct_13,Oct,,store,FALSE,,<none>,<none>,,,unspecified,none,alternate,TRUE,+,store,TRUE,+,store,
Oct_14,Oct,,store,FALSE,,<none>,<none>,,,unspecified,none,alternate,TRUE,+,store,TRUE,+,store,
Oct_15,Oct,,store,FALSE,,<none>,<none>,,,unspecified,none,alternate,TRUE,+,store,TRUE,+,store,
Oct_16,Oct,,store,FALSE,,<none>,<none>,,,unspecified,none,alternate,TRUE,+,store,TRUE,+,store,
Oct_17,Oct,,store,FALSE,,<none>,<none>,,,unspecified,none,alternate,TRUE,+,store,TRUE,+,store,
Oct_18,Oct,,store,FALSE,,<none>,<none>,,,unspecified,none,alternate,TRUE,+,store,TRUE,+,store,
Oct_19,Oct,,store,FALSE,,<none>,<none>,,,unspecified,none,alternate,TRUE,+,store,TRUE,+,store,
Oct_20,Oct,,store,FALSE,,<none>,<none>,,,unspecified,none,alternate,TRUE,+,store,TRUE,+,store,
Oct_21,Oct,,store,FALSE,,<none>,<none>,,,unspecified,none,alternate,TRUE,+,store,TRUE,+,store,
Oct_22,Oct,,store,FALSE,,<none>,<none>,,,unspecified,none,alternate,TRUE,+,store,TRUE,+,store,
Oct_23,Oct,,store,FALSE,,<none>,<none>,,,unspecified,none,alternate,TRUE,+,store,TRUE,+,store,
Oct_24,Oct,,store,FALSE,,<none>,<none>,,,unspecified,none,alternate,TRUE,+,store,TRUE,+,store,
Oct_25,Oct,,store,FALSE,,<none>,<none>,,,unspecified,none,alternate,TRUE,+,store,TRUE,+,store,
Oct_26,Oct,,store,FALSE,,<none>,<none>,,,unspecified,none,alternate,TRUE,+,store,TRUE,+,store,
Oct_27,Oct,,store,FALSE,,<none>,<none>,,,unspecified,none,alternate,TRUE,+,store,TRUE,+,store,
Oct_28,Oct,,store,FALSE,,<none>,<none>,,,unspecified,none,alternate,TRUE,+,store,TRUE,+,store,
Oct_29,Oct,,store,FALSE,,<none>,<none>,,,unspecified,none,alternate,TRUE,+,store,TRUE,+,store,
Oct_30,Oct,,store,FALSE,,<none>,<none>,,,unspecified,none,alternate,TRUE,+,store,TRUE,+,store,
Oct_31,Oct,,store,FALSE,,<none>,<none>,LastDayofMonth,,unspecified,none,alternate,TRUE,+,store,TRUE,+,store,
Nov,Q4,,dynamic calc,FALSE,,<none>,<none>,,,unspecified,none,alternate,TRUE,+,dynamic calc,TRUE,+,dynamic calc,
Nov_1,Nov,,store,FALSE,,<none>,<none>,,,unspecified,none,alternate,TRUE,+,store,TRUE,+,store,
Nov_2,Nov,,store,FALSE,,<none>,<none>,,,unspecified,none,alternate,TRUE,+,store,TRUE,+,store,
Nov_3,Nov,,store,FALSE,,<none>,<none>,,,unspecified,none,alternate,TRUE,+,store,TRUE,+,store,
Nov_4,Nov,,store,FALSE,,<none>,<none>,,,unspecified,none,alternate,TRUE,+,store,TRUE,+,store,
Nov_5,Nov,,store,FALSE,,<none>,<none>,,,unspecified,none,alternate,TRUE,+,store,TRUE,+,store,
Nov_6,Nov,,store,FALSE,,<none>,<none>,,,unspecified,none,alternate,TRUE,+,store,TRUE,+,store,
Nov_7,Nov,,store,FALSE,,<none>,<none>,,,unspecified,none,alternate,TRUE,+,store,TRUE,+,store,
Nov_8,Nov,,store,FALSE,,<none>,<none>,,,unspecified,none,alternate,TRUE,+,store,TRUE,+,store,
Nov_9,Nov,,store,FALSE,,<none>,<none>,,,unspecified,none,alternate,TRUE,+,store,TRUE,+,store,
Nov_10,Nov,,store,FALSE,,<none>,<none>,,,unspecified,none,alternate,TRUE,+,store,TRUE,+,store,
Nov_11,Nov,,store,FALSE,,<none>,<none>,,,unspecified,none,alternate,TRUE,+,store,TRUE,+,store,
Nov_12,Nov,,store,FALSE,,<none>,<none>,,,unspecified,none,alternate,TRUE,+,store,TRUE,+,store,
Nov_13,Nov,,store,FALSE,,<none>,<none>,,,unspecified,none,alternate,TRUE,+,store,TRUE,+,store,
